,Name,Title,Body,Stars,Time,Vine Voice
0,KarahCrisis,Maybe run a pinch small,"These are exactly as described. My only issue is, they are awfully tight. I'm usually a small in most gloves, but these are tighter. I have very little hands. Other than that, they are comparable to quality of the ones I have used from the oncology unit for my son who needs latex free. They were packaged nicely, box in fine shape upon receipt and very durable. They beyond serve their purpose. Next time I'll get a medium. They're still usable, so I'm not totally complaining. Just trying to help out with sizing. You may need to go with size up.",5.0,"Reviewed in the United States on February 6, 2023",
1,Linda,Truly the best gloves I've EVER had !!!,"I have bought dozens and dozens of different brands and types of gloves. These fit perfectly, they are very strong, NEVER had them tear or rip. I also love the softness of the gloves and how they fit your hand so perfect. My forever gloves 🧤",5.0,"Reviewed in the United States on February 28, 2023",
2,Stephanie,"Disability and I don’t have a problem with Latex, it’s Latex free","Very well worth your money. I purchased a box of 100 thinking I would get 100 days out of one box but one pair has already lasted 4 days. Very durable, easy to get on and off to use again and again",5.0,"Reviewed in the United States on February 27, 2023",
3,Shannon Copeland,Pretty good for the money. Fits okay on medium size hands,Fits okay on medium size hands. For the cost its worth it I think. Pretty good.,4.0,"Reviewed in the United States on February 25, 2023",
4,KitKat71,Great disposable gloves,I use these to clean up after foster puppies. They have worked well for this purpose. Easy to put on and take off. The price is good for disposable gloves.,5.0,"Reviewed in the United States on February 15, 2023",
5,Kharmyn Cousins,BEST PRICE FOR QUALITY,"I keep purchasing these because as a germaphobe, I need to have them on hand for cooking & baking!",5.0,"Reviewed in the United States on February 23, 2023",
6,AY,Good gloves,"Great for household use, haircare & food prep since they are non sterile & powder free. My only issue is it did not ship on time even after paying for next day delivery.",4.0,"Reviewed in the United States on February 15, 2023",
7,Jason ,These are purple,"These gloves fit and feel good. Durability wise they are just ok. Advertised as being 4 mil but they feel like 3 mil. Also, these gloves are pictured as being blue. They are not blue; these are definitely a purple lavenderish  color. I would still rate these at a 5 regardless of the color (because I don't really care that much) if they felt like they truly were 4 mil. But they feel thinner, so I gave them a 4.",4.0,"Reviewed in the United States on January 10, 2023",
8,Herman Lawson,These are wonderful,I primarily use my gloves for making cookies and bread,5.0,"Reviewed in the United States on February 24, 2023",
9,F. E. B.,Easy to get out of box,They were not all bunched up in the box. Didn't  have to unravel them or throw away because of tearing apart while unraveling. Love this box of gloves.,5.0,"Reviewed in the United States on February 11, 2023",
10,Pamella,Fit,They fit good and are strong,5.0,"Reviewed in the United States 🇺🇸 on February 24, 2023",
11,dini,Perfect size,They add a splash to cooking! Fits true to size. Love these,5.0,"Reviewed in the United States 🇺🇸 on February 20, 2023",
12,Odelia Olivas,Thin,A bit thinner than normal.,4.0,"Reviewed in the United States 🇺🇸 on February 22, 2023",
13,Shhh it’s secret,"Sturdy,medical grade","Great buy! Half the cost of the brand stocked at my local pharmacy but more durable. My mother works in home health and often has to supply her own gloves, I’ll be ordering regularly.",5.0,"Reviewed in the United States 🇺🇸 on February 4, 2023",
14,Ryumi T. Metcalf,Nothing,Texture,4.0,"Reviewed in the United States 🇺🇸 on February 21, 2023",
15,John Fascia,Excellent value!,Very good value and very good quality.,5.0,"Reviewed in the United States 🇺🇸 on February 22, 2023",
16,Amazon Customer,I repurchase these always,Great disposable gloves for everyday use. Can be used serval times without easily ripping apart.,5.0,"Reviewed in the United States 🇺🇸 on February 15, 2023",
17,PT student ,A little thin,"The gloves got the job done for the price. Just note that they are a little bit on the thinner side, so I wound up having to double glove frequently in anatomy lab in order to be sure that they wouldn't tear or cause odors to remain on my hands.",4.0,"Reviewed in the United States 🇺🇸 on January 19, 2023",
18,debbie,Fit good!,These gloves fit good and are comfortable. Good value for the cost.,4.0,"Reviewed in the United States 🇺🇸 on February 11, 2023",
19,CT,durable but picture inaccurate,"These gloves hold up well. They do not tear easily like some gloves. However, the picture is inaccurate. The gloves only reach to the edge of my palm, which is shorter than I'm used to. They do not extend down my wrist at all like the picture and I do not have especially large hands. Not great for messier jobs.",4.0,"Reviewed in the United States 🇺🇸 on January 8, 2023",
20,theresa crance,Sturdy,"Love these gloves. Use them for cleaning, cooking and baking.",5.0,"Reviewed in the United States 🇺🇸 on February 13, 2023",
21,Gayle Wilson,Don’t speak Spanish,No Halle,5.0,"Reviewed in the United States 🇺🇸 on February 20, 2023",
22,tj,Good fit,Works very well for kitchen uses,5.0,"Reviewed in the United States 🇺🇸 on February 14, 2023",
23,Hilde Van Houten,good all around gloves,"not too thick; sometimes they rip, but good price",4.0,"Reviewed in the United States 🇺🇸 on February 7, 2023",
24,Madde,Perfect fit,Love these disposable gloves.  They're perfect!!!,5.0,"Reviewed in the United States 🇺🇸 on February 14, 2023",
25,ivonne landrum,great gloves,great gloves @ best deal....,5.0,"Reviewed in the United States 🇺🇸 on February 15, 2023",
26,Melody69,Good gloves,"No odor, not rip easy, will buy again.",5.0,"Reviewed in the United States 🇺🇸 on February 10, 2023",
27,Angel C,No vinyl,Very comfortable  Does not tear,5.0,"Reviewed in the United States 🇺🇸 on February 10, 2023",
28,Ivan,good buy,I got what I ordered,5.0,"Reviewed in the United States 🇺🇸 on February 10, 2023",
29,Amazon Customer,Cook with them!,"I use them to clean, and I use them to cook! When peeling and dicing onions, these are a must have. Your hands will not smell like onions if you use these.",5.0,"Reviewed in the United States 🇺🇸 on January 21, 2023",
30,Ellen P. Watson-Suber,Nitrile gloves,Good quality and great price  I use these gloves daily because I'm allergic to latex .,5.0,"Reviewed in the United States on February 3, 2023",
31,Bonnie L. Fry,"Fit well, don’t roll up.",I use the gloves for fluid art. I can remove and reuse.,5.0,"Reviewed in the United States on February 5, 2023",
32,mossyfur,They fit and work well.,These gloves fit well and are pretty durable.  I used them for hand stripping old wax from a floor.,5.0,"Reviewed in the United States on February 2, 2023",
33,David S. ,As advertised,Quality glove for what it is. A bit thicker than other brands I've tried so they don't tear as easily.,5.0,"Reviewed in the United States on January 31, 2023",
34,T Templeton ,Poor quality,I purchased these in a pack of two. Every other glove I put on has ripped in the process. I am caregiver for my mother who is bedridden. I consider these to be a waste of money.,5.0,"Reviewed in the United States on January 15, 2023",
35,J.W.,Exactly what you'd think,"""rubber"" gloves. 'Nuff said.",5.0,"Reviewed in the United States on February 6, 2023",
36,Cecelia B.,Gloves work for what I needed!,They work just fine!,5.0,"Reviewed in the United States on February 10, 2023",
37,ROSANGEL CONTRERAS,excellent,excellent produc,5.0,"Reviewed in the United States on February 10, 2023",
38,Amazon Customer,great for bathing my dog as he gets scrubbed,so far satisfactory,5.0,"Reviewed in the United States on February 8, 2023",
39,Jackie LaPointe,Good fit.,Just the right thickness for housecleaning.,5.0,"Reviewed in the United States on February 5, 2023",
40,Patricia Slavin,Products ordered were satisfactory,Personal use,4.0,"Reviewed in the United States on January 27, 2023",
41,Amz User,Good value for money,Good quality gloves for non-medical chores.The extra texture around the finger tips helps to grip any small parts that I handle.,5.0,"Reviewed in the United States on January 22, 2023",
42,tomcat,Great price,Great price.  Comes quickly too,5.0,"Reviewed in the United States on January 31, 2023",
43,Betty Conley,Worth the money.,They fit really well had no problems with them.,5.0,"Reviewed in the United States on January 31, 2023",
44,Tina,Great quality!,"Great quality! Comfortable, stretchy, durable and a great value.",5.0,"Reviewed in the United States on February 1, 2023",
45,Lorena Majano,Es un excelente producto,El material suave no se rompe tan fácil,4.0,"Reviewed in the United States on January 20, 2023",
46,Aga ,Great,Great,5.0,"Reviewed in the United States on February 6, 2023",
47,CSTEVENSON!,Gloves? What can you say!,They cost too much,4.0,"Reviewed in the United States on January 21, 2023",
48,Amazon Customer,Do the job,"Not for tough jobs but if you want gloves that keep your hands clean and are a good value, then these are great. I’ll be ordering more.",4.0,"Reviewed in the United States on January 1, 2023",
49,scott sturgis,gloves,pruduct was delivered as advertised,4.0,"Reviewed in the United States on January 17, 2023",
50,James Ward,easy for me to use,"Once you figure out which is for little finger and thumb, they do the job. Besides normal purposes, I use them to pick up dog litter.",5.0,"Reviewed in the United States on January 17, 2023",
