,Name,Title,Body,Stars,Time,Vine Voice
0,Christina Garcia,Missing pieces customer service nonexistent,Good stable shelf when done right missing a few pieces and the companies customer service is non existent##,4.0,"Reviewed in the United States 🇺🇸 on November 6, 2022",
1,Jennifer,Not super durable,Tricky to put together and easily broke within week.##,4.0,"Reviewed in the United States 🇺🇸 on November 16, 2022",
2,Alexis A Vagni,No instructions and very weak design,"The “instructions” do not explain how to assemble and YouTube videos I tried to find were not helpful. We had to twist and turn and use trial and error to figure out what pieces went where—it was terrible (and I’m usually pretty good at figuring these things out). Then they give the tiniest little clips to use to rest each shelf on, only if you put them on one side of a vertical piece, you can’t put one on the other side (to be able to put a shelf in the next column). Not only can you not then put shelves next to one another, but the piece is so microscopic that it cannot bear the weight of the shoe! The shelf can barely rest on the tiny piece without falling off. I cannot understand the design of these pieces or how customers are expected to actually use them. As in the picture, you can see that I had to use an elaborate design of string strung back and forth through the holes of the vertical pieces to be able to rest the shelves upon, hoping that they would be able to hold the shelves up and bear the weight of the shoes (just regular shoes, mind you). It seems to work, but no one should have to be a “string engineer” here—the product is weak.##",2.0,"Reviewed in the United States 🇺🇸 on October 23, 2022",
3,Marie Crawford,Don't move it!!!,"The pictures and descriptions on Amazon are amazing. The assembly instructions are beyond bad. Some of the online customer videos helped a bit more. DO NOT attempt to move it after it has been assembled or you will find yourself practically starting over. Once we got it completely assembled and in its final resting place, it seems pretty sturdy. The biggest problem now is that the doors will not stay shut on their own and there are no latches included. My daughter still loves it, and I am just trying to figure out some type of latch system.##",3.0,"Reviewed in the United States 🇺🇸 on July 6, 2022",
4,Ana Juarez,Zapatera,"The media could not be loaded. Eta bonito y todo pero el plástico se dobla  se arruga y  se rompe fácil mente aver cuanto me tarda y si tiene mucho es pació para los zapatos  y no se le puede poner mucho pesor##",3.0,"Reviewed in the United States 🇺🇸 on September 1, 2022",
5,William U Oribhabor,different but better,"On my wife's account, in 2019 I bought a similar product made by Langria. It is an excellent product. So, when I saw these shelves for myself, I bought them. I must say that these were much easier to put together and required much less effort. I put in the review of their product that zip ties should be included. Well, this set came with zip ties and it comes with a mallet too! Well, I definitely needed the mallet. But, I found the end product to be not much different. However. I like it that white is nice and cleaner than the black one I bought last year. Also, I still agree with my last review that a pair of needle nose plyers are mandatory. It only took me about an hour to build this module. Thank you for putting this on the market. I love the idea how the shelves are sitting on little tabs rather than the buttons that Langria put at every shelf. Like I said. This is easier to put together. And, although the bottons (round connectors) may be harder to connect to the frame of this set, (ergo - mallet), the pay off is the winged shelf tabs.##",5.0,"Reviewed in the United States 🇺🇸 on December 10, 2020",
6,Brianna Haddix,Super cute but not the best quality,"Super cute shoe rack. Not too hard to assemble once you figure out all the pieces. Not the best quality material, definitely overpriced but it does it’s job and serves its purpose.##",4.0,"Reviewed in the United States 🇺🇸 on March 15, 2022",
7,Johnna DiGrigoli,Looks good and holds a good amount of shoes!,I like the organized look but the doors are a little flimsy and it was quite difficult and time consuming to put together.##,4.0,"Reviewed in the United States 🇺🇸 on January 13, 2022",
8,Tamere Milan,It’s ok,Ok the material is great. To put it together was difficult and keep it together there also a lot of little pieces so if you have little one it might not be a good idea. But I like that you can make it personal##,4.0,"Reviewed in the United States 🇺🇸 on July 27, 2021",
9,Chris H,Decent Product,"Product is sturdier than I anticipated. It looks nice and functions well. Not exactly the easiest assembly and the instructions don't really help. Some pieces were missing from mine and it took a back and forth to get replacement parts sent out to me. Overall, happy with the product.##",4.0,"Reviewed in the United States 🇺🇸 on April 16, 2021",
10,Tj,Bought for Christmas,Like the overall design but very disappointed about the quality of the product. Feels very cheap/not made well##,2.0,"Reviewed in the United States 🇺🇸 on December 18, 2021",
11,Amazon Customer,Perfect for organizing anything,"Directions were a little hard to understand. Once figured out, easy to put together! Pretty sturdy for a plastic organizer. Love it for my shoes and clothes##",5.0,"Reviewed in the United States 🇺🇸 on January 13, 2021",
12,NancyEllen  Woods,Simple. Clean. Easy to build,This is very nice and neat! I really love this for my room! It just looks so simple and cute!##,5.0,"Reviewed in the United States 🇺🇸 on March 24, 2021",
13,Anthony,exactly what i needed,nice look and holds plenty pairs of sneakers##,5.0,"Reviewed in the United States 🇺🇸 on September 24, 2021",
14,Andrea Watson,All my shoes have a home!,I don't have to be looking for my shoes anymore especially my sneakers.All in one place easy to assemble.  So happy that I searched for it.##,2.0,"Reviewed in the United States 🇺🇸 on May 9, 2021",
15,Estella Mitchell,Very nice,Satisfied##,5.0,"Reviewed in the United States 🇺🇸 on January 24, 2022",
16,nasko bahtev,…,Not worth $60##,1.0,"Reviewed in the United States 🇺🇸 on November 19, 2022",
17,Amazon Customer,Great,Easy to assemble my 13 yr old son did with no problem##,5.0,"Reviewed in the United States 🇺🇸 on May 26, 2021",
18,Franckhe N.,Soft,Not really easy to assemble but look nice when you get it##,5.0,"Reviewed in the United States 🇺🇸 on May 18, 2021",
19,Ovilio Troya Perez,Puertas abiertas,Si es bueno pero las puertas se mantienen abiertas##,5.0,"Reviewed in the United States 🇺🇸 on July 1, 2021",
20,Marion McGregor,I will never order this agin,Will not stay together##,1.0,"Reviewed in the United States 🇺🇸 on June 16, 2021",
21,Nanda,A shame pieces was missing.  I really wanted to use it.,Was missing 12 pieces.##,1.0,"Reviewed in the United States 🇺🇸 on May 30, 2021",
22,Zach,Missing pieces,"When arrived we were missing a few pieces, however we managed to build it enough to stand. The rack is still shaky##",1.0,"Reviewed in the United States 🇺🇸 on November 24, 2022",
23,Paula,Came dirty very disgusting!,Bought brand new but came dirty! Not sure what it is but couldn’t even wipe it off.. returning this!##,1.0,"Reviewed in the United States 🇺🇸 on November 23, 2022",
24,tiffany,Neat little storage,"Ok, it's not easy to assemble, directions are not clear. Some of the shelves were stained and wouldn't come out. I'll post another review once I've used it. Using it as tshirt storage##",2.0,"Reviewed in the United States 🇺🇸 on April 22, 2022",
25,Amanda Howell,Works well,"Overall fits my needs and was more cost friendly than other shoe storage options.easy to assemble, holds a good amount of shoes. I fit 2-3 pairs in each row of each cubby sturdy…enough: I have it on an upper shelf of the closet and that gives it additional stability. I don’t plan on moving it, I believe it would fall apart with moving. Doors/front covers arrived bent and feel flimsy. But I do like this feature to provide a layer of protection to my shoes.It comes with hooks for the side that I did not expect and can be useful for hanging additional itemsOverall I’d give 3-4/5 stars.##",4.0,"Reviewed in the United States 🇺🇸 on September 9, 2021",
26,MaMieLLe,Thrilled with this purchase!,"This is a great product! I love that it holds so many shoes, that I can use the hooks on the side, and I can use the top as an additional shelf. It fits inside of my closet, out of view, and looks great! I put my two boys on it. They said it was a bit difficult to put together, but they figured it out. If two pre-teens can do it then I would say most people could figure it out as well.##",5.0,"Reviewed in the United States 🇺🇸 on September 14, 2021",
27,Napa,There are pros and cons; overall satisfied,"Pros:Overall good price, easy to assemble, and good quality to be able to support all my shoes. Some reviews mentioned easy to collapse; those were probably installed incorrectly or didn't push the panels deep enough into the connectors. If you don't have strong hands to push the panels, just use the little hammer that comes with the package. Easy for me without using the hammer.There's also a sheet of paper with content of package on one page and instructions on the back but it was easy enough to put together the set without the instructions.Cons:The total number of ABS connectors and small snap clippers for the middle shelves are exactly what's needed to put all cubes together as one big piece, without any backup or extra. There would be no rescue if a few of these were missing, defective or simply stripped.Some customers also questioned about the possibility of building 2 separate sets - 3 cubes in one room and another 3 cubes in another room - thinking there are enough panels, but no you can't because there aren't enough connectors! This can also be drawback. Just wanted to share this so you'll be prepared.##",5.0,"Reviewed in the United States 🇺🇸 on July 19, 2021",
28,Xizzles,It's cool but not what I expected,"So I thought that this was going to be a lot taller than it turned out to be. And I almost wish I would have gotten a bigger size so that I could have a bigger stack for my other shoes because I ended up finding out I had so many lol. The plastic is not a cheap vinyl which is nice, but I would be afraid that heavy shoes would cause the shelves to buckle eventually after having a lot of weight on them.And the doors don't have any kind of mechanism that can keep them shut. So I kind of had to use the shelving itself to do that.##",4.0,"Reviewed in the United States 🇺🇸 on December 26, 2021",
29,Yolli,Nice n love it!,"Easy to assemble, sturdy becoz i add more plastic wire at the back n side. Its beautiful n put a liner in every layer, to look neat n clean. Protects my expensive shoes by adding mold protector. Its value for money. Practical n transferable. I will buy another one for my daughter.Recommendable. Thank you maginels.##",5.0,"Reviewed in the United States 🇺🇸 on July 8, 2021",
