rating,title,date,body,verified,name
1.0 out of 5 stars,Worst Product Ever. DON’T WASTE YOUR MONEY!!!!,"Reviewed in the United States on February 28, 2023",If I could have given Zero (0) I most definitely would. The color was the only thing good about this product. It’s was missing screws and screw hole. The cat condo part had to be attached to the flat part and the 3 holes that were supposed to be in the cat condo wasn’t even there as you can see in the picture. I immediately returned the next day. I do not recommend this product. Save your money and for a few extra dollars get a better higher quality product. I went to my local pet store and bought one today for $60 more. It was well worth it too.,true,Pierre M.
4.0 out of 5 stars,Small cats only,"Reviewed in the United States on February 24, 2023","This cat condo is slim even though it appears sturdy. There are two errors in the instructions. 1. Box 6. They indicate that screw W1 is to be used. However, there were only five W1s in the packet but two W3s. The W3 fits this instruction. 2. Box 7. The instructions indicate the rope insert to be turned clockwise. It won't screw in unless it is turned counterclockwise.My kitty weighs 8 lbs. This structure is a fit with no wiggle room. The area that holds the box in content ""D"" would be better suited for jumping cats if the area outside the box were just a few inches longer.",true,Bumps
5.0 out of 5 stars,Great buy! Cat approved !,"Reviewed in the United States on February 23, 2023",Over 6 months later and this cat bed is still looking great and well loved by our cat. Great size and neutral color. The only thing that didn't hold up well was the little balls hanging from elastic but this was not a big deal for us.,true,truejoie
2.0 out of 5 stars,Lousy instructions,"Reviewed in the United States on February 21, 2023",The stand itself isn't bad from what I see so far. As to the instructions in a word they suck. No parts list at all. Thankfully all parts were there. At least picture direction were decent.,true,Amazon Customer
5.0 out of 5 stars,Cats love this!,"Reviewed in the United States on February 14, 2023",My grand cats love the cat tree!!!!  Sturdy and attractive!!,true,Kathy Bunn
1.0 out of 5 stars,Don't waste your money.,"Reviewed in the United States on February 9, 2023","Poorly constructed (cardboard tubing? really?).  Purchased in November, fell apart in January.  The tower perches are cardboard fitted onto a plastic base.  Is it any wonder that both towers are now leaning and close to collapse.  I will no longer buy anything sold as ""Amazon Basics.""  I was unable to attach photos but they are a pretty powerful testament to the shoddy construction.  If anyone is interested, I can send them via text or email.",true,Kindle Customer
5.0 out of 5 stars,Nice medium height cat tree,"Reviewed in the United States on February 1, 2023",Wanted a smaller tree than old one which fell apart from four years cat use. This is very easy to put together.,true,Atlantic Aviator
5.0 out of 5 stars,It's lightweight,"Reviewed in the United States on January 23, 2023","It's lightweight so it's easy to move unlike some I've had in the past. Cats love it, no dislikes",true,Ralph & Kelli Holguin
5.0 out of 5 stars,Great product for the price!!,"Reviewed in the United States on January 22, 2023",I have been looking for a cat tower that isn’t an eye sore & doesn’t break the bank & I found the perfect one! I love the beige color that flows with my neutral/boho home decor. The material is super soft and all of the poles have rope to scratch. It was easy to assemble as I was able to do it myself. I have one cat that is 7lbs & this works well for him. The shorter one is a little wobbly and might not work well for a heavier cat.,true,Jennifer Davis
1.0 out of 5 stars,Were cheap and it shows,"Reviewed in the United States on January 20, 2023",I put 1 on our cat's tower and in less than 24 hours he had destroyed it. Packed them up and sent them back,true,Gina K
5.0 out of 5 stars,My cats love it,"Reviewed in the United States on January 20, 2023","I like this tree. It does have bolts on the base, so you do have to pick it up so it does not scratch the floor. It is very sturdy and both my cats hang out there",true,Sam
3.0 out of 5 stars,Only for small cats,"Reviewed in the United States on January 19, 2023",My cat is 14-15 pounds and is too big to comfortably fit in the enclosed box.  Looked like it needed to have a wider second level to maneuver up to the circular platforms.  I would return it but I didn't want to try and take it apart. Recommend for a small cat.,true,juliag
5.0 out of 5 stars,So far so good,"Reviewed in the United States on January 19, 2023","Cat enjoys it, working as should so far.",true,Steve B.
3.0 out of 5 stars,Arrived broken,"Reviewed in the United States on January 16, 2023",Arrived with a piece broken and made me think this was not very sturdy- the side of the latter that broke in half felt barely more sturdy than cardboard.,true,Trekking Mama
5.0 out of 5 stars,Great cat toys,"Reviewed in the United States on January 13, 2023",I attach them to the existing cat tree. Awesome little balls,true,Zk
5.0 out of 5 stars,Cats love,"Reviewed in the United States on January 9, 2023",Used for cat entertainment.,true,Tamsin M. Wilson
5.0 out of 5 stars,My cats love it!,"Reviewed in the United States on January 6, 2023",My cats love the wide base that hug them tightly when they’re sleeping.,true,Amazon Customer
4.0 out of 5 stars,Not bad for the price,"Reviewed in the United States on January 1, 2023",I’m not a great assembler of anything but the instructions were fairly easy to follow - just make sure you make a note of how the screws are placed or you’ll have to disassemble and start over . The stairs were cumbersome as other reviewers mentioned but with patience - it all fit together. Not bad for the price .,true,Let’s go out in nature !
2.0 out of 5 stars,Cat chewed cords in seconds,"Reviewed in the United States on December 31, 2022","I wanted to love these but my cat destroys the cord within seconds on every single one. I feel the cord should be more durable.  I unscrewed the plastic cap and we use these as roll around play toys, so not all was lost, but for their original intent, they did not meet expectations and I will not be purchasing again.",true,LJ
